;Team;year;Force_att;Force_deff
1;argentina;2015;1,320281413;0,997429128
2;argentina;2016;0,820609991;1,067588322
3;argentina;2017;0,839161234;1,162276711
4;argentina;2018;0,804229631;0,969194756
5;argentina;2019;0,413522401;0,773309025
6;australia;2015;1,007703644;1,113270133
7;australia;2016;1,333733733;1,145253692
8;australia;2017;1,205137268;0,945292477
9;australia;2018;0,761109234;1,348632814
10;australia;2019;0,8693298;0,791009073
11;canada;2015;0,949917025;0,993121228
12;canada;2016;0,928950208;1,02287411
13;canada;2017;0,607921043;1,414945562
14;canada;2018;0,479115525;1,345390908
15;canada;2019;0,712626575;1,30370014
16;england;2015;1,146074891;0,634814149
17;england;2016;1,163985803;1,302033503
18;england;2017;1,406275185;0,933864071
19;england;2018;0,74909332;0,672020057
20;england;2019;1,558996195;0,98200058
21;fiji;2015;0,992663291;0,775536497
22;fiji;2016;1,09123669;0,534269067
23;fiji;2017;0,818496104;0,573052952
24;fiji;2018;0,76658484;0,802371686
25;fiji;2019;0,698635215;0,820305706
26;france;2015;0,92175877;0,94231854
27;france;2016;0,750464531;1,28224576
28;france;2017;0,80358582;0,804497619
29;france;2018;0,579501635;0,80845026
30;france;2019;1,028193096;0,820305706
31;georgia;2015;0,815187127;0,680053778
32;georgia;2016;0,637953757;1,220142689
33;georgia;2017;1,130042559;0,557892821
34;georgia;2018;0,561600615;1,337286144
35;georgia;2019;1,09169914;1,773911089
36;ireland;2015;0,823459321;1,322529477
37;ireland;2016;1,57939378;0,673127404
38;ireland;2017;1,496364689;0,912639887
39;ireland;2018;1,392708482;1,027190806
40;ireland;2019;0,989842043;0,58190436
41;italy;2015;0,971177073;1,006946581
42;italy;2016;0,690539197;1,397580035
43;italy;2017;0,848853607;1,25110976
44;italy;2018;1,0951212;1,287113792
45;italy;2019;0,869702903;1,207387461
46;japan;2015;0,714812561;1,207414207
47;japan;2016;0,753606193;1,132467765
48;japan;2017;0,826186671;1,706424347
49;japan;2018;0,987268354;0,935731902
50;japan;2019;1,514797849;1,151224485
51;namibia;2015;0,857300115;1,503123158
52;namibia;2017;0,703137592;1,379571923
53;namibia;2018;0,59319065;1,661476724
54;namibia;2019;0,507419969;1,040030448
55;new zealand;2015;1,372432202;0,632989971
56;new zealand;2016;1,647247766;1,280549668
57;new zealand;2017;1,444228634;0,528675114
58;new zealand;2018;1,77112194;0,549322928
59;new zealand;2019;1,32824639;0,948478472
60;russia;2015;0,872340468;1,444749443
61;russia;2016;1,285234324;1,187264593
62;russia;2017;0,755872912;0,628235829
63;russia;2018;1,574236724;1,053619386
64;russia;2019;1,153905572;1,235119387
65;samoa;2015;1,144946864;0,911177205
66;samoa;2016;1,181621951;0,867782484
67;samoa;2017;0,624034613;1,49842735
68;samoa;2018;0,68445075;0,851000273
69;samoa;2019;0,536589834;0,885557296
70;scotland;2015;1,051153552;0,916143025
71;scotland;2016;1,110381194;0,62987511
72;scotland;2017;1,004168374;0,668561778
73;scotland;2018;1,395864711;0,856526249
74;scotland;2019;0,912858474;0,935050849
75;south africa;2015;1,062395836;0,784065125
76;south africa;2016;0,63681832;0,96426533
77;south africa;2017;0,980336066;0,858763114
78;south africa;2018;0,792822118;0,693970461
79;south africa;2019;1,193929339;0,87889897
80;tonga;2015;1,14306682;0,887280466
81;tonga;2016;0,501160554;0,717635487
82;tonga;2017;1,676229796;0,879287599
83;tonga;2018;1,262431383;0,932047918
84;tonga;2019;1,486671629;1,384265879
85;united states of america;2015;0,514380069;1,072617011
86;united states of america;2016;0,797545828;0,612100857
87;united states of america;2017;1,081750142;0,940394589
88;united states of america;2018;1,379431511;0,754366543
89;united states of america;2019;1,201391398;0,792962182
90;uruguay;2015;1,27090982;1,517716586
91;uruguay;2016;0,775990535;1,068538133
92;uruguay;2017;1,160177027;0,916884724
93;uruguay;2018;1,064701166;1,377809966
94;uruguay;2019;1,247096505;0,769036599
95;wales;2015;1,048039136;0,656704292
96;wales;2016;1,313525646;0,894405993
97;wales;2017;0,588040665;1,439201771
98;wales;2018;1,305416212;0,736476427
99;wales;2019;0,684545671;0,925542293
